PlayerID,Name,Age,Nationality,Club,Position,MatchesPlayed,Goals,Assists,YellowCards,RedCards,MarketValue
P01502,Chukwu Mensah,19.0,Por,Feyenoord,CDM,29.0,0.0,0.0,2.0,0.0,32500000.0
P02587,Mateo Hernández,25.0,Eng,Borussia  Dortmund,RB,33.0,0.0,2.0,2.0,0.0,47023429.0
P02654,Alexander Okeke,31.0,Pol,Porto,CDM,13.0,0.0,0.0,0.0,0.0,31800000.0
P01056,Kofi Moore Miller,28.0,Unknown,Roma,ST,17.0,6.0,0.0,0.0,0.0,32500000.0
P00706,Michael N. Schmidt,38.0,Esp,Real  Madrid,DEF,26.0,0.0,1.0,2.0,0.0,16348000.0
P00107,William Miller,25.0,Germany,Rangers,LB,1.0,0.0,0.0,0.0,0.0,32700000.000000004
P00590,Nicolas Novak,23.0,Pol,RB Leipzig (loan),WFD,31.0,7.0,0.0,10.0,0.0,32500000.0
P02469,Liam Kh an,31.0,Wal,Benfica,Defender,21.0,0.0,0.0,4.0,0.0,28320723.0
P02414,Marco Martin,20.0,Eng,Bayern Munich (loan),LB,38.0,0.0,20.0,0.0,0.0,32500000.0
P01601,Mason Silva,30.0,Swe,Inter Milan,ST,10.0,5.0,10.0,1.0,0.0,32500000.0
P02465,Nicolas Hernández,25.0,Spain,Bayern Munich,Goalkeeper,41.0,0.0,3.0,1.0,0.0,19521000.0
P00229,William A. Miller,23.0,Netherlands,Rangers,Goalkeeper,0.0,0.0,0.0,2.0,0.0,32500000.0
P00916,Ezequiel Wilson,24.0,Eng,Benfica,GK,21.0,0.0,1.0,3.0,0.0,53800000.0
P00795,Ethan Williams,25.0,Ned,Borussia Dortmund,ST,13.0,0.0,1.0,1.0,0.0,36500000.0
P03022,Omar Brown,28.0,Arg,PSV EiNdhoven,DEF,20.0,0.0,0.0,0.0,0.0,45703000.0
P03544,Mohamed Anderson,23.0,Unknown,Feyenoord,MF,0.0,0.0,1.0,1.0,0.0,36700000.0
P01074,Adebayo Martin,26.0,United States,Tottenham,LB,20.0,0.0,0.0,0.0,0.0,46300000.0
P03352,William Jackson,25.0,Pol,Celtic,GK,22.0,0.0,0.0,2.0,0.0,32500000.0
P01745,Kofi P. Costa,21.0,Por,Real Mardid,CAM,18.0,0.0,2.0,4.0,0.0,42100000.0
P01085,Nicolas Anderson Brown,28.0,Unknown,Atletico Madrid,LB,29.0,0.0,3.0,6.0,0.0,45100000.0
P00927,Benjamin M. Novak,25.0,Wal,Benfica,MF,25.0,1.0,3.0,4.0,0.0,23469057.0
P03050,Kofi Smith,25.0,Eng,Liverpool,LB,13.0,0.0,1.0,2.0,0.0,16676000.0
P01118,Adebayo  Jackson,27.0,Côte D'Ivoire,Paris Saint-Germain,CDM,0.0,0.0,1.0,1.0,0.0,43154184.0
P00643,Diego Mensah,24.0,Netherlands,AC Milan,Defender,28.0,0.0,0.0,2.0,0.0,33089965.0
P04768,Michael D. Brown,30.0,Argentin,Rangers,Forward,15.0,0.0,0.0,2.0,0.0,27740000.0
